Name,val,caracteristica
iPhone 11 Pro 512 GB Gris espacial,$6.649.000,Memoria Interna - 512 GB
iPhone 11 Pro 256 GB verde noche,$5.669.000,Memoria Interna - 256 GB
"iPhone 11 128 GB ""Blanco",$3.335.000,Memoria Interna - 128 GB
"iPhone 11 128 GB ""Rojo",$3.335.000,Memoria Interna - 128 GB
"iPhone 11 128 GB ""Negro",$3.335.000,Memoria Interna - 128 GB
"Cel 4G iPhone 7 32GB ""Dr",$1.419.000,Carcasa o Estuche Para - Celular
Case Silicone iPhone 11 Pro Max Arena,$183.000,Memoria Interna - 256 GB
iPhone XS Max 256GB Gris,$5.489.000,Memoria Interna - 32 GB
iPhone 7 - 32GB Negro,$1.419.000,Memoria Interna - 32 GB
iPhone 7 - 32GB Plateado,$1.149.000,Memoria Interna - 32 GB
iPhone 7 - 32GB Rosado,$1.149.000,Memoria Interna - 64 GB
iPhone XS Max 64GB Gris,$2.999.000,Memoria Interna - 128 GB
iPhone 12 128 GB Negro,$4.499.000,Memoria Interna - 128 GB
iPhone 12 128 GB Blanco,$4.499.000,Memoria Interna - 128 GB
iPhone 12 Rojo 128 GB,$4.499.000,Memoria Interna - 128 GB
iPhone 12 128 GB Azul,$4.499.000,Memoria Interna - 256 GB
iPhone 12 256 GB Azul,$5.029.000,Memoria Interna - 64 GB
iPhone 12 64 GB Negro,$4.229.000,Memoria Interna - 64 GB
iPhone 12 Rojo 64 GB,$4.229.000,Memoria Interna - 64 GB
iPhone 12 64 GB Azul,$4.229.000,Memoria Interna - 128 GB
"iPhone SE 128GB ""Rojo",$2.276.000,Memoria Interna - 64 GB
"iPhone XR 64GB ""Rojo",$2.599.000,Memoria Interna - 64 GB
"iPhone XR 64GB ""Blanco",$2.599.000,Memoria Interna - 128 GB
"iPhone SE 128GB  ""Blanco",$2.276.000,Memoria Interna - 64 GB
